"Cif (S)","Ventas (N)","Año ventas (S)","Capital social (N)","Cargo principal (S)","Cnae (S)","Domicilio social (S)","Email (S)","Empleados (N)","Fax (S)","Fecha fundacion (S)","Fecha ult. balance (S)","Forma juridica (S)","Localidad (S)","Nombre (S)","Nombre comercial (S)","Situacion (S)","Telefono (S)","Web (S)","tipo (S)"
"A70085493","6980527.52","2018","177500","PEQUENO VARELA, SERAFIN","4122 - Construcción de edificios no residenciales","CALLE VULCANO, 5 - 7 9 PISO 1 3","norcontratas@gmail.com","35","Desconocido","2006-12-19","2018-12-31","SOCIEDAD ANONIMA","15173 OLEIROS (La Coruña)","NORCONTRATAS EMPRESA CONSTRUCTORA SA","Desconocido","Activa","[981756614]","Desconocido","pequeña"
"A70276795","50014100.39","2018","32051283","PUENTES Y CALZADAS GRUPO DE EMPRESAS SA","8610 - Actividades hospitalarias","CARRETERA CLARA CAMPOAMOR, 341","gestion.admin@novohospitalvigo.es","8","[986825079]","2011-01-04","2018-12-31","SOCIEDAD ANONIMA","36213 VIGO (Pontevedra)","SOCIEDADE CONCESIONARIA NOVO HOSPITAL DE VIGO SA","['ESCOLA INFANTIL ""MERLIN"" (HOSPITAL ALVARO CUNQUEIRO)', 'SOCIEDADE CONCESIONARIA NOVO HOSPITAL DE VIGO']","Activa","[986217950]","Desconocido","grande"
"A78006749","3828510.04","2018","306510","RODRIGUEZ CASTELLANOS, MIGUEL","2511 - Fabricación de estructuras metálicas y sus componentes","CALLE ALSASUA, 16 - LOC C","comercial@shcm.es","32","Desconocido","1985-02-12","2018-12-31","SOCIEDAD ANONIMA","28023 MADRID (Madrid)","SCHWARTZ HAUTMONT INGENIERIA Y COMERCIAL SA","Desconocido","Activa","[977345412, 977390000]","['www.shcm.es']","pequeña"
"A78024668","24384656","2018","1202000","LORENZO MORANTE, MARTA","7112 - Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico","CARRETERA AJALVIR TORREJON, KM 1.8 NAVES 2 Y 4","sci@scisa.es","450","[918844324]","1985-03-07","2018-12-31","SOCIEDAD ANONIMA","28864 AJALVIR (Madrid)","S C I SERVICIOS DE CONTROL E INSPECCION SA","Desconocido","Activa","[918844393]","['www.scisa.es']","grande"
"A78078516","37021000","2018","420000","RETINEO SL REPRES PJ PERELLI BOTELLO JORGE","4122 - Construcción de edificios no residenciales","CALLE MAESTRO ANGEL LLORCA, 6 - BAJO","info@bauensa.com","104","[915361824]","1985-09-26","2018-12-31","SOCIEDAD ANONIMA","28003 MADRID (Madrid)","BAUEN EMPRESA CONSTRUCTORA SA","Desconocido","Activa","[915362518]","['www.bauensa.com']","mediana"
"A78260429","3726194.28","2018","60200","CORREDERA SANCHEZ MIGALLON, MARIA DEL CARMEN","4399 - Otras actividades de construcción especializada n.c.o.p.","AVENIDA SANTA EUGENIA, 12 - NAVE F1","obras@decon86.net","23","[913324640]","1986-04-11","2018-12-31","SOCIEDAD ANONIMA","28031 MADRID (Madrid)","DECON 86 SA","Desconocido","Activa","[913324770]","Desconocido","pequeña"
"A79059705","28203480","2018","2589800","ACCIONA DESARROLLO CORPORATIVO SA","8110 - Servicios integrales a edificios e instalaciones","AVENIDA DE EUROPA, 18","info@accionafs.com","1036","Desconocido","1989-03-01","2018-12-31","SOCIEDAD ANONIMA","28108 ALCOBENDAS (Madrid)","ACCIONA MULTISERVICIOS SA.","Desconocido","Activa","[911420300, 916632850, 916578553, 911423500]","['www.acciona-fs.es']","grande"
"A79222709","54341000","2018","37185020","DATA CONCURSAL SLP","4110 - Promoción inmobiliaria","AVENIDA MANOTERAS, 18","isoluxcorsan@isoluxcorsan.com","184","[914493333]","1989-07-14","2018-12-31","SOCIEDAD ANONIMA","28050 MADRID (Madrid)","CORSAN-CORVIAM CONSTRUCCION SA","Desconocido","Concurso","[924374199, 918155707, 914493628]","['www.isoluxcorsan.com']","grande"
"A79446795","103273398.02","2018","361200","RUFIAN MILLA, RAMON","4321 - Instalaciones eléctricas","CALLE DE HUESCA, 23 - PG IND VALDONAIRE","recepcion@insyteinstalaciones.es","1210","[916000307]","1990-05-28","2018-12-31","SOCIEDAD ANONIMA","28970 HUMANES DE MADRID (Madrid)","INSYTE INSTALACIONES SA","Desconocido","Activa","[914920660]","['www.insyteinstalaciones.es']","grande"
"A80773534","19626000","2018","60000","GONZALEZ GARCIA, ALEJANDRO ANTONIO","7490 - Otras actividades profesionales, científicas y técnicas n.c.o.p.","CALLE TRESPADERNE, 29 - PLANTA 3","ignacio.zuazo@sgs.com","186","Desconocido","1993-10-13","2018-12-31","SOCIEDAD ANONIMA","28042 MADRID (Madrid)","SGS INTERNATIONAL CERTIFICATION SERVICES IBERICA SA","Desconocido","Activa","[913138000]","['www.sgs.es']","mediana"
"A82741067","514242000","2018","560957000","RODRIGUEZ SAN JUAN, GONZALO MARIA","3811 - Recogida de residuos no peligrosos","CALLE PRINCIPE DE VERGARA, 135","Desconocido","8386","Desconocido","2000-07-05","2018-12-31","SOCIEDAD ANONIMA","28002 MADRID (Madrid)","CESPA COMPAÑIA ESPAÑOLA DE SERVICIOS PUBLICOS AUXILIARES SA","['CESPA']","Activa","[915862500, 915199230, 911281096, 917238806]","['www.ferrovial.com/es/']","grande"
"A82916842","229838000","2018","30000000","VERA GARCIA, JUAN ANTONIO","3522 - Distribución por tubería de combustibles gaseosos","LUGAR MUELLE DE PONIENTE, S/N","administracion@medgaz.com","45","[950182901]","2001-02-21","2018-12-31","SOCIEDAD ANONIMA","04002 ALMERIA (Almería)","MEDGAZ SA","Desconocido","Activa","[950182900, 950181920, 950277627]","['www.medgaz.com']","grande"
"A83174524","116746283","2018","1785884140","BARATECH TORRES, FRANCISCO JAVIER","3600 - Captación, depuración y distribución de agua","CALLE ALBASANZ, 11","info@acuamed.es","81","[914234547]","2002-03-07","2018-12-31","SOCIEDAD ANONIMA","28037 MADRID (Madrid)","AGUAS DE LAS CUENCAS MEDITERRANEAS S.M.E. SA.","Desconocido","Activa","[914234500, 914234552]","['www.acuamed.es']","grande"
"A83629428","5881098.05","2018","300000","FERNANDEZ FERNANDEZ, RAMON","4122 - Construcción de edificios no residenciales","CALLE DE EDUARDO TORROJA, 46","gema.acedos@agyfer.com","50","[915713095]","2003-05-09","2018-12-31","SOCIEDAD ANONIMA","28946 FUENLABRADA (Madrid)","AGYFER 91 SA","Desconocido","Activa","[914490291]","['www.agyfer.com']","pequeña"
"A84105220","140865000","2018","60000","LLAMAZARES DE LA PUENTE, RAUL","7112 - Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico","CALLE VIA DE LOS POBLADOS, 9 - 11","info@initec-energia.com","203","[915468224]","2004-09-22","2018-12-31","SOCIEDAD ANONIMA","28033 MADRID (Madrid)","INITEC ENERGIA SA","Desconocido","Activa","[911330200, 911330325, 911330213]","['www.initec-energia.com']","grande"
"A84794460","28143368","2018","16100000","TORRESOL ENERGY INVESTMENTS SA","3519 - Producción de energía eléctrica de otros tipos","CARRETERA SE-220, 4","info@torresolenergy.com","0","Desconocido","2006-07-27","2018-12-31","SOCIEDAD ANONIMA","41420 FUENTES DE ANDALUCIA (Sevilla)","GEMASOLAR 2006 SA","Desconocido","Activa","[955906121, 918077000, 955906130]","['www.torresolenergy.com']","mediana"
"A85110294","21824022","2018","60200","VILLENA CONTRERAS, LUIS","4211 - Construcción de carreteras y autopistas","AVENIDA GENERAL PERON, 38 - 4A","sorigue@sorigue.com","81","[902110953]","2007-04-26","2018-12-31","SOCIEDAD ANONIMA","28020 MADRID (Madrid)","SORIGUE-ACSA CONSERVACION DE INFRAESTRUCTURAS SA","Desconocido","Activa","[902110953, 934463850, 915798450]","['www.sorigue.com']","mediana"
"A85204311","10032715.34","2018","483966","AGRA MARTIN, ROBERTO","4121 - Construcción de edificios residenciales","CALLE VICENTE ALEIXANDRE, 3 - 1 PLT","administracion@nuicon.es","33","[916366744]","2007-10-23","2018-12-31","SOCIEDAD ANONIMA","28232 LAS ROZAS DE MADRID (Madrid)","NUICON CONSTRUCCIONES Y PROYECTOS SA","Desconocido","Activa","[916402771]","Desconocido","pequeña"
"A85269678","21221291","2017","16886919","VIALIA SOCIEDAD GESTORA DE CONCESIONES DE INFRAEST","4211 - Construcción de carreteras y autopistas","AVENIDA CAMINO DE SANTIAGO, 40","autovia-conquense@fcc.es","3","[969327086]","2007-11-20","2017-12-31","SOCIEDAD ANONIMA","28050 MADRID (Madrid)","AUTOVIA CONQUENSE SA","Desconocido","Activa","[969324332, 969324615, 969322432]","Desconocido","pequeña"
"A85959484","117940980","2018","5403100","AGUIRRE DE CARCER Y, MORENO JAIME","7010 - Actividades de las sedes centrales","CALLE PRINCIPE DE VERGARA, 135","cvaras@ferrovial.com","297","Desconocido","2010-04-29","2018-12-31","SOCIEDAD ANONIMA","28002 MADRID (Madrid)","FERROVIAL CORPORACION SA","Desconocido","Activa","[914115792, 914115796, 914117767, 914401044]","['www.ferrovial.com']","grande"
"A87073193","12101306","2017","61028.6","RIQUELME VIVES, ENRIQUE JOSE","3514 - Comercio de energía eléctrica","CALLE VELAZQUEZ, 4 - 1","ma.bernardos@coxenergy.com","21","[914324061]","2014-07-25","2017-12-31","SOCIEDAD ANONIMA","28001 MADRID (Madrid)","COX ENERGY SOLAR SA.","Desconocido","Activa","[914384258]","['www.coxenergy.com']","mediana"
"A90106113","14227000","2017","60000","ABENGOA ABENEWCO 1 SA REPRES PJ FERNANDEZ DE PIEROLA MARIN JOAQUIN","7112 - Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico","CALLE ENERGIA SOLAR, 1","abeinsa@abengoa.com","76","[954413371]","2014-01-01","2017-12-31","SOCIEDAD ANONIMA","41014 SEVILLA (Sevilla)","ABENGOA OPERATION AND MAINTENANCE SOCIEDAD ANONIMA.","Desconocido","Activa","[954937000, 954937111]","['www.abeinsa.com', 'www.abengoa.com']","mediana"
"A91272682","7523000","2017","912000","ABENGOA ABENEWCO 1 SA REPRES PJ FERNANDEZ DE PIEROLA MARIN JOAQUIN","7112 - Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico","CALLE ENERGIA SOLAR, 1","marta.rodriguez@abengoa.com","47","[954937008]","2003-03-17","2017-12-31","SOCIEDAD ANONIMA","41014 SEVILLA (Sevilla)","ABENGOA INNOVACION SOCIEDAD ANONIMA.","Desconocido","Activa","[954937000, 954938833, 954978862, 954937111]","Desconocido","pequeña"
"A95573291","8514702","2018","560102","IZAGUIRRE NAZAR, JOSE","7112 - Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico","AVENIDA SAN ADRIAN, 48","jluque@iberdrola.es","86","Desconocido","2009-05-28","2018-12-31","SOCIEDAD ANONIMA","48003 BILBAO (Bizkaia)","IBERDROLA INFRAESTRUCTURAS Y SERVICIOS DE REDES SOCIEDAD ANONIMA.","Desconocido","Activa","[944151411]","Desconocido","mediana"
"A97197511","96489000","2018","52500000","RIBO CANUT, JOAN","3600 - Captación, depuración y distribución de agua","AVENIDA DEL REGNE DE VALENCIA, 28 - BJ","oficinavirtual@aguasdevalencia.es","280","[963860567]","2002-03-15","2018-12-31","SOCIEDAD ANONIMA","46005 VALENCIA (Valencia)","EMPRESA MIXTA VALENCIANA DE AGUAS SOCIEDAD ANONIMA","Desconocido","Activa","[963860600, 963346205, 963860542]","['www.emivasa.es']","grande"
"A97320907","4230845.63","2018","600000","SAURA GARCIA, PEDRO","4110 - Promoción inmobiliaria","CALLE SANT VICENT MARTIR, 171 - 1","sociedad@valenciaparquecentral.es","3","[963940274]","2003-04-10","2018-12-31","SOCIEDAD ANONIMA","46007 VALENCIA (Valencia)","VALENCIA PARQUE CENTRAL ALTA VELOCIDAD 2003 SA","Desconocido","Activa","[963510888]","['www.valenciaparquecentral.es']","pequeña"
"A98474984","18087854.04","2017","650000","SALA VILABOY, ALBERTO","4322 - Fontanería, instalaciones de sistemas de calefacción y aire acondicionado","CALLE JULIAN CAMARILLO, 53 - PLT 1, PTA 4","info@valtria.com","90","Desconocido","2012-09-24","2017-12-31","SOCIEDAD ANONIMA","28037 MADRID (Madrid)","VALTRIA ENGINEERING SA.","Desconocido","Activa","[910609895, 937379924]","['www.valtria.com']","mediana"
"B03517737","2177878.38","2018","6010.12","MALLORQUIN TERUEL, JAIME","4321 - Instalaciones eléctricas","CALLE GAYANES, 32 - PG IND CARRUS","admnistracion@jmallorquin.com","22","[966671314]","1990-07-17","2018-12-31","SOCIEDAD LIMITADA","03206 ELCHE/ELX (Alicante)","J MALLORQUIN SL","Desconocido","Activa","[966660604]","['www.jmallorquin.com']","pequeña"
"B04265559","8475929.32","2017","393157.61","BELMONTE SERRANO, ENCARNACION","4621 - Comercio al por mayor de cereales, tabaco en rama, simientes y alimentos para animales","CALLE IV, 12","administracion@agropulpi.com","15","[950464844]","1996-11-19","2017-12-31","SOCIEDAD LIMITADA","04640 PULPI (Almería)","AGROPULPI SL","Desconocido","Activa","[950464844]","['www.agropulpi.com']","pequeña"
"B04322905","3878881.81","2018","252804.6","SANCHEZ DE AMO, ANTONIO","4931 - Transporte terrestre urbano y suburbano de pasajeros","CARRETERA SIERRA ALHAMILLA, 288 - NAVE 7","contabilidad@verdiblanca.com","274","[950220492]","1999-03-09","2018-12-31","SOCIEDAD LIMITADA","04007 ALMERIA (Almería)","VERDIBLANCA DE MEDIO AMBIENTE SL","Desconocido","Activa","[950221000]","['www.verdiblanca.com']","mediana"
"B04473427","40692790","2018","65000","VAUTH, MIRKO","3513 - Distribución de energía eléctrica","CARRETERA A-92","Desconocido","51","Desconocido","2004-02-11","2018-12-31","SOCIEDAD LIMITADA","18514 ALDEIRE (Granada)","MARQUESADO SOLAR SL","Desconocido","Activa","[958066022]","['www.marquesadosolar.es']","pequeña"
"B04764809","5853073.03","2018","1200000","GUTIERREZ DELGADO, EDUARDO","4299 - Construcción de otros proyectos de ingeniería civil n.c.o.p.","AVENIDA MARE NOSTRUM, 41 - PISO 2","copsa@grupocopsa.es","31","[950264688]","2012-12-03","2018-12-31","SOCIEDAD LIMITADA","04009 ALMERIA (Almería)","GRUPOCOPSA SL.","Desconocido","Activa","[950281136]","['www.grupocopsa.es']","pequeña"
"B04789277","2041312.2","2018","3006","FERNANDEZ GARCIA, NOELIA","4399 - Otras actividades de construcción especializada n.c.o.p.","AVENIDA ROCIO, 23","Desconocido","38","Desconocido","2014-03-31","2018-12-31","SOCIEDAD LIMITADA","04650 ZURGENA (Almería)","DLP OFICIOS Y OBRAS DIVERSAS ALMERIA SOCIEDAD LIMITADA.","Desconocido","Activa","Desconocido","Desconocido","mediana"
"B07061575","31239917.96","2017","71856.05","FERRA PALAZON, ANA FRANCISCA","4121 - Construcción de edificios residenciales","CALLE MAGDALENA, 1 - A","info@grupoferra.com","42","[971699615]","1979-01-02","2017-12-31","SOCIEDAD LIMITADA","07180 CALVIA (Baleares)","CONSTRUCCIONES PEDRO FCO FERRA TUR SL","Desconocido","Activa","[971699606, 971693481, 971699571]","['www.grupoferra.com']","pequeña"
"B07616246","19784976.11","2017","2220120","CERON VARGAS, NORBERTO","4121 - Construcción de edificios residenciales","CALLE CAN VALERO, 9 - A","pedrosiles@oycpedrosiles.com","50","Desconocido","1993-04-16","2017-12-31","SOCIEDAD LIMITADA","07011 PALMA (Baleares)","OBRAS Y CONSTRUCCIONES PEDRO SILES SL","['OBRAS Y CONSTRUCCIONES PEDRO SILES, S.L.']","Activa","[971755400]","['www.pedrosiles.com']","pequeña"
"B08872335","3351634.4","2018","205000","DUOCASTELLA SELVAS, JOSEP","4312 - Preparación de terrenos","LUGAR CASA MARQUET, S/N","info@excavacionsduocastella.com","21","[973473163]","1983-12-02","2018-12-31","SOCIEDAD LIMITADA","08263 SANT MATEU DE BAGES (Barcelona)","EXCAVACIONS DUOCASTELLA SL","Desconocido","Activa","[937433052, 973473163]","['www.excavacionsduocastella.com']","pequeña"
"B08937724","28128000","2018","25513552.71","SHERATAN MANAGEMENT SL","6420 - Actividades de las sociedades holding","CALLE VIRIAT, 47","afiscal@comsa.com","199","[934809299]","1984-09-28","2018-12-31","SOCIEDAD LIMITADA","08014 BARCELONA (Barcelona)","COMSA CORPORACION DE INFRAESTRUCTURAS SL.","Desconocido","Activa","[933662100]","['www.comsa.com']","mediana"
"B11671401","956025.53","2018","3005.06","GOMEZ DIAZ, ANTONIO MANUEL","4121 - Construcción de edificios residenciales","CALLE GRANADA (JEREZ DE LA FRONTERA), 5","info@fragouconstrucciones.com","19","Desconocido","1992-01-01","2018-12-31","SOCIEDAD LIMITADA","11403 JEREZ DE LA FRONTERA (Cádiz)","FRAGOU CONSTRUCCIONES SL","Desconocido","Activa","[956143837]","['www.fragouconstrucciones.com']","pequeña"
"B12389086","2681784.67","2018","53368.8","JUAREZ SOLA, FERNANDO","4121 - Construcción de edificios residenciales","URBANIZACION EL BALCO, PAR 90","juarezsola@gmail.com","25","[964313562]","1995-01-01","2018-12-31","SOCIEDAD LIMITADA","12594 OROPESA DEL MAR/ORPESA (Castellón)","CONSTRUCCIONES JUAREZ SOLA SL","Desconocido","Activa","[964312623]","['www.construccionesjuarezsolasl.info']","pequeña"
"B12389615","3262185.28","2018","6010","SEBASTIA GARCIA, RAMON","4121 - Construcción de edificios residenciales","AVENIDA VIRGEN DE LIDON, 61 - BJ","info@construccionessebastia.com","30","[964039039]","1995-01-02","2018-12-31","SOCIEDAD LIMITADA","12004 CASTELLON PLANA/CASTELLO PLANA (Castellón)","REFORMAS Y CONSTRUCCIONES SEBASTIA SL","Desconocido","Activa","[964244113]","['www.construccionessebastia.com']","pequeña"
"B13039540","501915","2018","239803.83","Desconocido","6820 - Alquiler de bienes inmobiliarios por cuenta propia","CALLE AZCONA, 37","Desconocido","17","Desconocido","1987-01-20","2018-12-31","SOCIEDAD LIMITADA","28028 MADRID (Madrid)","CONSTRUCCIONES GANADERAS INDUSTRIALES GAMO, SLU (EXTINGUIDA)","Desconocido","Extinción","Desconocido","Desconocido","pequeña"
"B13176029","6297030.6","2018","594869.8","BARAHONA RAMIREZ, JOSE ANTONIO","4121 - Construcción de edificios residenciales","RONDA DEL TRENILLO, 15","administracion@barahona.es","47","[926330699]","1992-07-28","2018-12-31","SOCIEDAD LIMITADA","13350 MORAL DE CALATRAVA (Ciudad Real)","BARAHONA OBRAS Y SERVICIOS, SOCIEDAD LIMITADA.","Desconocido","Activa","[926330699]","['www.barahona.es']","mediana"
"B13455175","1918190.52","2018","40000","ORTIZ JIMENEZ, GUSTAVO","4299 - Construcción de otros proyectos de ingeniería civil n.c.o.p.","CALLE ITALIA, 6 - B","ovg@ovguadiana.es","23","[926226076]","2007-04-18","2018-12-31","SOCIEDAD LIMITADA","13005 CIUDAD REAL (Ciudad Real)","OBRAS Y VIALES GUADIANA SOCIEDAD LIMITADA","Desconocido","Activa","[926226081]","Desconocido","pequeña"
"B13534847","5935605.36","2018","20000","GOMEZ CAMBRONERO ALONSO, JUAN FRANCISCO","4299 - Construcción de otros proyectos de ingeniería civil n.c.o.p.","CALLE PRIM, 44 - LOC 1","jantonio@iberfirmes.com","44","Desconocido","2012-01-25","2018-12-31","SOCIEDAD LIMITADA","13250 DAIMIEL (Ciudad Real)","IBERCESA FIRMES SOCIEDAD LIMITADA.","Desconocido","Activa","[926879599]","['www.iberfirmes.com']","pequeña"
"B13606116","1547498.4","2018","6012","VALLEJO RAMIREZ, JESUS","4121 - Construcción de edificios residenciales","CALLE CHARCAZO, 2 - PISO 2","Desconocido","34","Desconocido","2017-06-24","2018-12-31","SOCIEDAD LIMITADA","13670 VILLARRUBIA DE LOS OJOS (Ciudad Real)","RUIVALLE SERVICIOS INTEGRALES, SOCIEDAD LIMITADA.","Desconocido","Activa","Desconocido","Desconocido","pequeña"
"B14276547","603716.78","2018","3005.06","PULIDO CAMACHO, MARIA ROSA","4121 - Construcción de edificios residenciales","CALLE SIMON CARPINTERO, MOD 14, NAVE 5","crbrsl@hotmail.com","9","[957283885]","1990-11-28","2018-12-31","SOCIEDAD LIMITADA","14014 CORDOBA (Córdoba)","CONSTRUCCIONES RAFAEL BONILLA RUIZ SL","Desconocido","Activa","[957283885]","Desconocido","pequeña"
"B14347132","3548392.45","2018","12020.24","ARAGONES TORRES, MANUEL","4121 - Construcción de edificios residenciales","CALLE DUQUE DE RIVAS, 45","info@aragonesmorales.es","20","Desconocido","1993-01-18","2018-12-31","SOCIEDAD LIMITADA","14520 FERNAN-NUÑEZ (Córdoba)","CONSTRUCCIONES ARAGONES MORALES SL","Desconocido","Activa","[957373559]","['www.aragonesmorales.es']","pequeña"
"B14569289","11258268.86","2018","93005.06","RANGEL HINOJOSA, JOSE ENRIQUE","4321 - Instalaciones eléctricas","CALLE FINLANDIA, 20","administracion@rahi.es","45","Desconocido","2000-11-07","2018-12-31","SOCIEDAD LIMITADA","14014 CORDOBA (Córdoba)","INSTALACIONES ELECTRICAS RAHI SL","Desconocido","Activa","[957429413, 957429213]","['www.rahi.es']","mediana"
"B14605687","5241985.02","2018","6000","CASTILLO ALCAIDE, FRANCISCO","4121 - Construcción de edificios residenciales","CALLE JOSE MARIA MARTORELL, 26","info@corduba.net","17","[957100591]","2002-01-01","2018-12-31","SOCIEDAD LIMITADA","14005 CORDOBA (Córdoba)","CORDUBA CONSTRUCTIONIS SL","Desconocido","Activa","[957410511]","['www.corduba.net']","mediana"
"B15084205","4421598","2018","6010.1","MALLON VILAS, JOSE","4122 - Construcción de edificios no residenciales","LUGAR A PENA, S/N","mallon@mallonsl.com","30","[981881722]","1985-12-20","2018-12-31","SOCIEDAD LIMITADA","15830 NEGREIRA (La Coruña)","HERMANOS MALLON SL","Desconocido","Activa","[981885678]","['www.mallonsl.com']","pequeña"
"B15162399","6259607.91","2018","102172.06","NUNEZ NEIRA, CELSO","4321 - Instalaciones eléctricas","POLIGONO INDUSTRIAL (ESPIRITU SANTO), 12","celsonu@celsonu.com","55","[981649807]","1988-12-28","2018-12-31","SOCIEDAD LIMITADA","15660 CAMBRE (La Coruña)","CELSO NUÑEZ SL","Desconocido","Activa","[981649898]","Desconocido","mediana"
"B15614357","27331000","2018","3000","ACCIONA DESARROLLO CORPORATIVO SA","7490 - Otras actividades profesionales, científicas y técnicas n.c.o.p.","CALLE DE VARSOVIA, 4 - C 5ª PLANTA EDIF. AREA CENTRAL","mariaasuncion.rodriguez.vazquez@acciona.com","20","Desconocido","1997-04-04","2018-12-31","SOCIEDAD LIMITADA","15707 SANTIAGO DE COMPOSTELA (La Coruña)","ENERGEA SERVICIOS Y MANTENIMIENTO SL","Desconocido","Activa","[986663029, 916576460, 981867112, 881971871]","['www.acciona.es']","pequeña"
"B15664816","1480617.87","2018","7520.06","REY DEVESA, YAGO","9311 - Gestión de instalaciones deportivas","CALLE ANXO SENRA FERNANDEZ, 21 - BJ IZQ","info@esproade.com","51","[881966810]","1998-09-17","2018-12-31","SOCIEDAD LIMITADA","15670 CULLEREDO (La Coruña)","ESPROADE SL","Desconocido","Activa","[981223020]","['www.esproade.com']","mediana"
"B15763873","0","2018","15055","Desconocido","4321 - Instalaciones eléctricas","PARQUE TECNOLOGICO Y LOGISTICO","gainca@gainca.com","0","Desconocido","2000-11-16","2018-12-31","SOCIEDAD LIMITADA","36315 VIGO (Pontevedra)","GALLEGA INFRAESTRUCTURAS DE CABLE SL  (EXTINGUIDA)","Desconocido","Extinción","[986498839]","['www.gainca.com']","mediana"
"B16251712","23736407.76","2018","3100","CASADO BALAGUER, JOSE","7112 - Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico","CALLE SOL, 6","solaer@solaer.net","45","Desconocido","2006-08-25","2018-12-31","SOCIEDAD LIMITADA","16200 MOTILLA DEL PALANCAR (Cuenca)","ECOSOLAR INSTALACIONES ENERGETICAS RENOVABLES SL","Desconocido","Activa","[969332177, 962400528, 917993043]","['www.solaer.net']","mediana"
"B17537812","4486533.45","2018","294490","CANET PUJOL, JORGE","4121 - Construcción de edificios residenciales","LUGAR CAN XIRGU, 4","xirgu@xirgu.net","34","[972462702]","1998-01-26","2018-12-31","SOCIEDAD LIMITADA","17244 CASSA DE LA SELVA (Gerona)","GERMANS CAÑET-XIRGU SL","Desconocido","Activa","[972460464]","['www.xirgu.net']","pequeña"
"B17824418","2636682.67","2018","1810080","SIÑOL MATEOS, IOLANDA","4121 - Construcción de edificios residenciales","AVENIDA RHODE, 107 -109 PLT BAJA","sinyol@sinyol.com","29","[972257350]","2004-10-20","2018-12-31","SOCIEDAD LIMITADA","17480 ROSES (Gerona)","SINORMA SL","Desconocido","Activa","[972257372]","['www.sinyol.com']","pequeña"
"B18383851","5190955.66","2018","936390","MARTINEZ AMAT, JOSE ANTONIO","4121 - Construcción de edificios residenciales","CALLE JOSE LUIS PEREZ PUJADAS, S/N - EDIF. FORUM","administracion@jocon.es","76","[958055050]","1995-02-20","2018-12-31","SOCIEDAD LIMITADA","18006 GRANADA (Granada)","JOCON INFRAESTRUCTURAS SOCIEDAD LIMITADA.","Desconocido","Activa","[958129679]","['www.jocon.es']","mediana"
"B19287853","72490934","2018","3000","CERCADILLO CALVO, JUAN JOSE","4121 - Construcción de edificios residenciales","PLAZA EUROPA, 3","hirealestate@hirealestate.es","92","[949215521]","2012-06-29","2018-12-31","SOCIEDAD LIMITADA","19002 GUADALAJARA (Guadalajara)","HIGH INNOVATION OBRAS Y SERVICIOS, SOCIEDAD LIMITADA.","Desconocido","Activa","[949225372]","['www.hirealestate.es']","grande"
"B19510361","6175656.34","2018","827631","CARJUNA GESTION SOCIEDAD LIMITADA","4211 - Construcción de carreteras y autopistas","CALLE DE LA CONSTRUCCION, 2","info@grulop.com","10","[858200098]","2012-12-18","2018-12-31","SOCIEDAD LIMITADA","18015 GRANADA (Granada)","GRULOP 21 SOCIEDAD LIMITADA.","Desconocido","Activa","[958200681]","['www.grulop.com']","grande"
"B20093068","4990039.42","2018","299070.47","AMILIBIA IRAZUSTA, AINHOA","4299 - Construcción de otros proyectos de ingeniería civil n.c.o.p.","BARRIO ARRATOLA ALDEA, 14","amilibia@amilibia.com","19","[943894081]","1984-11-24","2018-12-31","SOCIEDAD LIMITADA","20809 AIA (Gipuzkoa)","ASTILLEROS AMILIBIA UNTZIOLAK SL","Desconocido","Activa","[943830829]","['www.amilibia.com']","pequeña"
"B20166948","5982876.82","2018","6010","HOLDELEK SL","2712 - Fabricación de aparatos de distribución y control eléctrico","CALLE URIBARRI ETORBIDEA - POL INDUSTRIAL, 39","comercial@gaikisl.com","37","Desconocido","1987-12-18","2018-12-31","SOCIEDAD LIMITADA","20500 ARRASATE/MONDRAGON (Gipuzkoa)","GAIKI SL","Desconocido","Activa","[943712700]","['www.gaikisl.com']","pequeña"
"B20619722","9957796.05","2018","30050.61","MARIEZCURRENA ECHEVERRIA, FRANCISCO JAVIER","4211 - Construcción de carreteras y autopistas","AVENIDA DE TOLOSA, 5 - 1º","admon@zubieder.com","31","[943426974]","1998-02-23","2018-12-31","SOCIEDAD LIMITADA","20018 DONOSTIA/SAN SEBASTIAN (Gipuzkoa)","CONSTRUCCIONES ZUBIEDER SL","Desconocido","Activa","[943429085, 943429320, 948211362]","Desconocido","pequeña"
"B22168249","10009274.39","2018","300000","PISA LAJARA, ANTONIO","4121 - Construcción de edificios residenciales","CARRETERA A-1234 MONZON-FRAGA","paobal@paobal.com","15","[974469490]","1994-03-12","2018-12-31","SOCIEDAD LIMITADA","22534 ALBALATE DE CINCA (Huesca)","PAOBAL ALBALATE SL","Desconocido","Activa","[974468639]","['www.paobal.com']","pequeña"
