"Cif (S)","Ventas (N)","Año ventas (S)","Capital social (N)","Cargo principal (S)","Cnae (S)","Domicilio social (S)","Email (S)","Empleados (N)","Fax (S)","Fecha fundacion (S)","Fecha ult. balance (S)","Forma juridica (S)","Localidad (S)","Nombre (S)","Nombre comercial (S)","Situacion (S)","Telefono (S)","Web (S)","tipo (S)"
"A63326318","22951405","2018","34700000","VIZCAINO MUÑOZ, FRANCISCO JAVIER","4211 - Construcción de carreteras y autopistas","AVENIDA JOSEP TARRADELLAS, 38 - PLANTA 6","cedinsa@cedinsa.net","0","[938381582]","2003-11-06","2018-12-31","SOCIEDAD ANONIMA","08029 BARCELONA (Barcelona)","CEDINSA EIX DEL LLOBREGAT CONCESSIONARIA DE LA GENERALITAT DE CATALUNYA SA","Desconocido","Activa","[932291060, 938381577]","['www.cedinsa.net']","mediana"
"A65001018","116139000","2018","1043000","VIZCAINO MUÑOZ, FRANCISCO JAVIER","4212 - Construcción de vías férreas de superficie y subterráneas","AVENIDA CARRILET, 3 - PLANTA 1 DESPACHO A","finances@ceal9.com","10","Desconocido","2008-12-09","2018-12-31","SOCIEDAD ANONIMA","08902 L'HOSPITALET DE LLOBREGAT (Barcelona)","CONCESSIO ESTACIONS AEROPORT L 9 SA","Desconocido","Activa","[932184620]","Desconocido","grande"
"A74117904","3847562","2018","375000","GOMEZ GOÑI, JUAN PABLO","7112 - Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico","POLIGONO INDUSTRIAL SILVOTA, PAR 63","info@grupoisastur.com","60","[985261904]","2004-10-18","2018-12-31","SOCIEDAD ANONIMA","33424 LLANERA (Asturias)","ISASTUR INGENIERIA SA","Desconocido","Activa","[985980104]","Desconocido","mediana"
"A78918539","20275235.64","2018","60500","MIRALLES PEREZ, VICENTE","7022 - Otras actividades de consultoría de gestión empresarial","CALLE GRAN VIA, 6","generico@eu.es","15","[913864777]","1988-10-06","2018-12-31","SOCIEDAD ANONIMA","28013 MADRID (Madrid)","HOMT ESPAÑA SA","Desconocido","Activa","[913768110, 913768054, 913732665]","['www.homt.eu']","pequeña"
"A79201430","21432000","2018","3005000","SANCHEZ BARGOS, JESUS","3320 - Instalación de máquinas y equipos industriales","CALLE DIEGO MARIN AGUILERA, 1","manuel.sanchezmigallon@thalesgroup.com","80","[914532401]","1989-09-01","2018-12-31","SOCIEDAD ANONIMA","28919 LEGANES (Madrid)","THALES PROGRAMAS DE ELECTRONICA Y COMUNICACIONES SA.","Desconocido","Activa","[914532400]","['www.thalesgroup.com']","mediana"
"A79964136","5619960.47","2017","301000","Desconocido","7112 - Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico","CALLE PAU CLARIS, 165 - PISO 7 A","sscc@vth.es","17","[934881753]","1991-03-08","2017-12-31","SOCIEDAD ANONIMA","08037 BARCELONA (Barcelona)","VALORACIONES Y TASACIONES HIPOTECARIAS SA (EXTINGUIDA)","Desconocido","Extinción","[934961900]","['www.e-vth.com']","pequeña"
"A80053697","6709683.07","2018","175878","BUICK CRAIG, ANTHONY","8291 - Actividades de las agencias de cobros y de información comercial","AVENIDA MANOTERAS, 46 - PISO 2 A","incidencias@gesif.es","208","[913832340]","1991-05-31","2018-12-31","SOCIEDAD ANONIMA","28050 MADRID (Madrid)","CABOT FINANCIAL SPAIN SA.","Desconocido","Activa","[913835665, 917909999, 917680016, 913837488]","Desconocido","mediana"
"A80915705","4783294","2018","4620000","PRIETO MARTIN, RAFAEL","6190 - Otras actividades de telecomunicaciones","CALLE SANTA ENGRACIA, 125","contacta@canaldecomunicaciones.es","48","[915451495]","1994-06-09","2018-12-31","SOCIEDAD ANONIMA","28003 MADRID (Madrid)","CANAL DE COMUNICACIONES UNIDAS S.A.","Desconocido","Activa","[915451113, 915451000, 810526266, 915451495]","['www.canaldecomunicaciones.es']","mediana"
"A81638108","1697243000","2018","88541183.1","ACCIONA CORPORACION SA","4121 - Construcción de edificios residenciales","AVENIDA DE EUROPA, 18","juancarlos.martin.herrero@acciona.com","6243","[916633099]","1997-01-24","2018-12-31","SOCIEDAD ANONIMA","28108 ALCOBENDAS (Madrid)","ACCIONA CONSTRUCCION SA.","['CUBIERTAS Y MZOV, SOCIEDAD ANONIMA', 'ENTRECANALES Y TAVORA']","Activa","[916632850, 916630136, 916613854, 916616428]","['www.acciona-infraestructuras.es', 'www.acciona-construccion.com']","grande"
"A81785669","11111389.85","2018","360612","BOREN IGLESIAS, RAFAEL","7490 - Otras actividades profesionales, científicas y técnicas n.c.o.p.","CALLE COSTA BRAVA, 10","comercial@meteologica.com","120","[914561002]","1997-07-11","2018-12-31","SOCIEDAD ANONIMA","28034 MADRID (Madrid)","METEOLOGICA SA","Desconocido","Activa","[914561001, 913152642, 913239400, 913231326]","['www.meteologica.com']","mediana"
"A81848343","5920683.44","2012","1189160","ORTIZ ALONSO, JOSE IGNACIO","7112 - Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico","CALLE JEREZ, 3 - BJ","info@bod.es","38","[914143032]","1997-10-09","2012-12-31","SOCIEDAD ANONIMA","28016 MADRID (Madrid)","B O D ARQUITECTURA E INGENIERIA SA","Desconocido","Reapertura de la hoja registral","[911841950]","['www.bod.es']","pequeña"
"A82128455","12892454.38","2018","150776390","PRALESA CONCESIONES SL","5221 - Actividades anexas al transporte terrestre","CARRETERA VILLAMARTIN, S/N","info@ausur.es","66","[966761427]","1998-09-17","2018-12-31","SOCIEDAD ANONIMA","03189 ORIHUELA (Alicante)","AUTOPISTA DEL SURESTE CONCESIONARIA ESPAÑOLA DE AUTOPISTAS SA","Desconocido","Activa","[966730117]","['www.ausur.es']","mediana"
"A82201864","13970685","2018","22697366","OSUNA GOMEZ, JUAN LUIS","5229 - Otras actividades anexas al transporte","PASEO CASTELLANA, 259","euroglosa45@euroglosa45.com","20","[916883399]","1998-12-18","2018-12-31","SOCIEDAD ANONIMA","28046 MADRID (Madrid)","EUROGLOSA 45 CONCESIONARIA DE LA COMUNIDAD DE MADRID SA","Desconocido","Activa","[916829290, 913489300]","Desconocido","pequeña"
"A83951624","7199386","2014","113000000","PEREZ GONZALEZ, LUIS","5229 - Otras actividades anexas al transporte","CALLE SATURNO, 1","info@aucosta.es","82","[968599405]","2004-03-25","2014-12-31","SOCIEDAD ANONIMA","28224 POZUELO DE ALARCON (Madrid)","AUTOPISTA DE LA COSTA CALIDA CONCESIONARIA ESPAÑOLA DE AUTOPISTAS SA (EN LIQUIDACION)","Desconocido","Liquidación concursal","[968591296, 968599418, 968599405, 913518969]","['www.aucosta.es']","mediana"
"A83981571","124791520","2018","345500000","CARABANTE MUNTADA, BORJA","5221 - Actividades anexas al transporte terrestre","CALLE MENDEZ ALVARO, 95","jimenezaj@mc30.es","20","[915307974]","2004-05-21","2018-12-31","SOCIEDAD ANONIMA","28053 MADRID (Madrid)","MADRID CALLE 30 SA","Desconocido","Activa","[915391236, 915390410, 915391231]","Desconocido","grande"
"A84251990","8371441.76","2018","324000","AMENGUAL MATAS, SEBASTIAN","7112 - Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico","CALLE MANUEL LUNA, 12 - SEGUNDA PLT","prysma@prysma.es","85","[914252410]","2005-02-18","2018-12-31","SOCIEDAD ANONIMA","28020 MADRID (Madrid)","PRYSMA CALIDAD Y MEDIO AMBIENTE SA","Desconocido","Activa","[911857800, 914252410, 914490289, 902885766]","['www.prysma.es']","mediana"
"A84343920","13757692.57","2017","11820000","SACYR CONCESIONES PARTICIPADAS II SL","7740 - Arrendamiento de la propiedad intelectual y productos similares, excepto trabajos protegidos por los derechos de autor","CALLE CONDESA DE VENADITO, 7","Desconocido","3","Desconocido","2005-05-17","2017-12-31","SOCIEDAD ANONIMA","28027 MADRID (Madrid)","HOSPITAL DE PARLA SA","Desconocido","Activa","[911913116]","['www.sacyr.com']","pequeña"
"A84395078","13168000","2018","60100","GONZALEZ GARCIA, ALEJANDRO ANTONIO","7112 - Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico","CALLE TRESPADERNE, 29 - 3º","ignacio.zuazo@sgs.com","252","Desconocido","2005-06-23","2018-12-31","SOCIEDAD ANONIMA","28042 MADRID (Madrid)","SGS INSPECCIONES REGLAMENTARIAS SA","Desconocido","Activa","[913138000]","['www.es.sgs.com']","mediana"
"A84887751","8386000","2013","61000","Desconocido","7112 - Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico","AVENIDA MANOTERAS, 20 - EDIF. B PLT 4ª Y 5ª","general@aernnova.com","84","[913827864]","2006-11-06","2013-12-31","SOCIEDAD ANONIMA","28050 MADRID (Madrid)","AERNNOVA ENGINEERING SOLUTIONS IBERICA SA (EXTINGUIDA)","Desconocido","Extinción","[913827800, 945185600, 913827801]","Desconocido","mediana"
"A86567278","4426352.78","2018","60000","MAROÑAS SANTOS, BEGOÑA","4110 - Promoción inmobiliaria","CALLE DEL ALTO DE LA CAMORCHA, 2 - LOC 1","info@nismar.es","45","Desconocido","2012-10-10","2018-12-31","SOCIEDAD ANONIMA","28770 COLMENAR VIEJO (Madrid)","NISTAL MAROÑAS SA.","Desconocido","Activa","[918455713]","Desconocido","pequeña"
"A95229274","10035820.8","2018","60200","MAINNUNA SOCIEDAD LIMITADA","6209 - Otros servicios relacionados con las tecnologías de la información y la informática","CALLE IBAIBE, 27 - PISO 2","info@versia.com","178","[944721358]","2002-10-15","2018-12-31","SOCIEDAD ANONIMA","48902 BARAKALDO (Bizkaia)","VERSIA SISTEMAS TI SOCIEDAD ANONIMA.","Desconocido","Activa","[944723499, 944724425]","['www.versia.com']","mediana"
"A95471496","67035410.53","2018","880077.4","ENAITINERE SAU","4399 - Otras actividades de construcción especializada n.c.o.p.","PLAZA CARLOS TRIAS BERTRAN, 7 - PISO 3 OFICINA B","europistas.bur@europistas.es","111","[947475251]","2007-02-27","2018-12-31","SOCIEDAD ANONIMA","28020 MADRID (Madrid)","AP- 1 EUROPISTAS CONCESIONARIA DEL ESTADO SOCIEDAD ANONIMA.","Desconocido","Activa","[914170800, 947591776]","['www.ap1europistas.es']","grande"
"A96853577","17265955.94","2018","486810","ALFARO ALBALAT, SERGIO","4299 - Construcción de otros proyectos de ingeniería civil n.c.o.p.","CALLE CLARIANO, 16 - ENTLO","admin@ocide.es","42","[963935394]","1999-02-25","2018-12-31","SOCIEDAD ANONIMA","46021 VALENCIA (Valencia)","OCIDE CONSTRUCCION SA","Desconocido","Activa","[963394220]","['www.ocide.es']","mediana"
"A96894928","28389213","2018","1302236.25","FOGARTY PATRICK, WILLIAM","2790 - Fabricación de otro material y equipo eléctrico","CALLE VEREDA, 16","info@ghinduction.com","123","[961352170]","1999-07-14","2018-12-31","SOCIEDAD ANONIMA","46184 SAN ANTONIO DE BENAGEBER (Valencia)","GH ELECTROTERMIA SA","['GH INDUCTION']","Activa","[961352020]","['www.ghinduction.com']","mediana"
"A97194302","1617711.65","2018","61000","SOLBES PASTOR, JORDI","7112 - Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico","CALLE ACEQUIA RASCANYA, 3","insteimed@insteimed.com","15","[963304693]","2002-03-04","2018-12-31","SOCIEDAD ANONIMA","46200 PAIPORTA (Valencia)","INSTEIMED SA","Desconocido","Activa","[963304596, 963304693]","['www.insteimed.com']","pequeña"
"A97858633","113263949","2017","4050000","GALLART GASPAR, PABLO","8610 - Actividades hospitalarias","AVENIDA DE LES CORTS VALENCIANES, 58 - OF 1104","Desconocido","1120","Desconocido","2007-02-20","2017-12-31","SOCIEDAD ANONIMA","46015 VALENCIA (Valencia)","ELCHE-CREVILLENTE SALUD SA","Desconocido","Activa","[966679800, 963462591]","['www.vinaloposalud.com']","grande"
"B01449768","6616000","2017","12510","CTL-TH PACKAGING SL","7120 - Ensayos y análisis técnicos","CALLE HERMANOS LUMIERE, 1","info@tuboplast.com","46","[945296210]","2008-10-17","2017-12-31","SOCIEDAD LIMITADA","01510 VITORIA-GASTEIZ (Araba/Álava)","CTL-TH ENGINEERING SL","Desconocido","Activa","[945296200]","['www.tuboplastctl.com']","mediana"
"B02589216","12008879.91","2018","1050000","CAMPOS SANTOS, ANTONIO","4121 - Construcción de edificios residenciales","CARRETERA NACIONAL 430 BADAJOZ VALENCIA, 60","Desconocido","21","[967256220]","2017-01-01","2018-12-31","SOCIEDAD LIMITADA","02611 OSSA DE MONTIEL (Albacete)","CAMPOS OBRAS Y PROYECTOS SL","Desconocido","Activa","[967377317, 967592682]","['www.camposcorporacion.com']","pequeña"
"B04239406","2831135.71","2018","22007549","GOODHALL PETER, JOHN","4110 - Promoción inmobiliaria","CALLE BARIA, ED VILLASOL","villaricos@almanzora.com","49","[950467428]","1995-09-07","2018-12-31","SOCIEDAD LIMITADA","04616 CUEVAS DEL ALMANZORA (Almería)","DESERT SPRINGS S.L.","Desconocido","Activa","[950467411]","['www.almanzora.com']","pequeña"
"B04354882","8736135.74","2018","180301.82","RODRIGUEZ RUBIO, FRANCISCO","4211 - Construcción de carreteras y autopistas","POLIGONO INDUSTRIAL PULPI, PARC. D3","admon@stnapal.com","39","[950465251]","2000-04-26","2018-12-31","SOCIEDAD LIMITADA","04640 PULPI (Almería)","SERVICIOS TECNICOS NAPAL SL","['PORTICHUELO COVE']","Activa","[950464780]","['www.stnapal.com']","pequeña"
"B04683124","17238913.11","2018","192000","JURADO RODRIGUEZ, MANUEL JOSE","4299 - Construcción de otros proyectos de ingeniería civil n.c.o.p.","LUGAR PARAJE LAIMUN, S/N","mrequena@grupolirola.com","65","Desconocido","2009-01-01","2018-12-31","SOCIEDAD LIMITADA","04700 EL EJIDO (Almería)","LIROLA INGENIERIA Y OBRAS SOCIEDAD LIMITADA","Desconocido","Activa","[950489328]","Desconocido","grande"
"B04812301","1552075.13","2018","3000","PECO MOLINA, DAVID","4121 - Construcción de edificios residenciales","CALLE EL DESCUBRIMIENTO, 15 - BJ","mezur@hotmail.com","16","Desconocido","2015-03-19","2018-12-31","SOCIEDAD LIMITADA","04650 ZURGENA (Almería)","MEZUR INSTALACIONES SOCIEDAD LIMITADA.","Desconocido","Activa","Desconocido","Desconocido","pequeña"
"B05220553","2212780.14","2018","125104","BELTRAN ALBARRAN, ALVARO FELIX","7219 - Otra investigación y desarrollo experimental en ciencias naturales y técnicas","CALLE RIO CEA, 1 - NAV 46","admin@onyxsolar.com","30","[920351231]","2009-06-17","2018-12-31","SOCIEDAD LIMITADA","05004 AVILA (Ávila)","ONYX-SOLAR-ENERGY SL","Desconocido","Activa","[920210050]","['www.onyxsolar.com']","pequeña"
"B07952047","20575048","2017","6000","SAMPOL GRUPO CORPORATIVO SL","4321 - Instalaciones eléctricas","CALLE GREMI DE BONETERS, 48","sampol@sampol.com","132","[971764180]","1999-05-11","2017-12-31","SOCIEDAD LIMITADA","07009 PALMA (Baleares)","SAMPOL DIGITAL SL.","Desconocido","Activa","[971764178, 971764476, 971764170]","['www.sampol.com']","mediana"
"B10294932","1903462.92","2018","3006","LOPEZ DE LERMA CALDERON, DOMINGO","4121 - Construcción de edificios residenciales","CALLE BERNA, 12 - LOC","administracion@lerpa2002.es","9","[927131758]","2002-11-12","2018-12-31","SOCIEDAD LIMITADA","10005 CACERES (Cáceres)","LERPA 2002 SLU","Desconocido","Activa","[927239720]","['www.lerpa2002.es']","grande"
"B10344174","2714000.42","2018","570000","PALLERO CLEMENTE, ELOY","4121 - Construcción de edificios residenciales","POLIGONO INDUSTRIAL 1 DE MAYO","daniel.ferroluz@gmail.com","41","[927271295]","2006-03-16","2018-12-31","SOCIEDAD LIMITADA","10900 ARROYO DE LA LUZ (Cáceres)","FERROLUZ ENCOFRADOS FERRALLA Y CONSTRUCCIONES SL","Desconocido","Activa","[927271295]","Desconocido","pequeña"
"B11834371","3442252.22","2018","9000","JAIME ROMAN NARANJO, JOSE MARIA","4121 - Construcción de edificios residenciales","CALLE DE LA ENCRUCIJADA, 39 - 1","administracion@jaimeroman.es","100","[956731308]","2005-01-19","2018-12-31","SOCIEDAD LIMITADA","11650 VILLAMARTIN (Cádiz)","CONSTRUCCIONES JAIME ROMAN SL","Desconocido","Activa","[956731308, 956730831]","['www.jaimeroman.es']","mediana"
"B11882909","12337154","2016","6000","BARBA GARCIA, FRANCISCO","7112 - Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico","CALLE SOLEA, 4 - 6","info@bcenergias.es","50","[956726063]","2010-04-16","2016-12-31","SOCIEDAD LIMITADA","11630 ARCOS DE LA FRONTERA (Cádiz)","BC NATURE QUALITY FRUITS, SL.","Desconocido","Activa","[956726130]","['www.bcenergias.es']","pequeña"
"B11919198","1498518.32","2017","108000","RAMOS MARTINEZ, JAVIER","8122 - Otras actividades de limpieza industrial y de edificios","CALLE HERMES, 8 - BL A BJ B","administracion@dobleg.es","45","Desconocido","2014-05-09","2017-12-31","SOCIEDAD LIMITADA","11405 JEREZ DE LA FRONTERA (Cádiz)","ACTUACIONES INTEGRALES DOBLE G SL.","Desconocido","Activa","[956861252, 956140730]","['www.dobleg.es']","pequeña"
"B11928702","614836.72","2016","3006","ARIZA PRIETO, FERNANDO","4121 - Construcción de edificios residenciales","CALLE LARGA (JEREZ DE LA FRONTERA), 79 -81  PLT 1","Desconocido","23","Desconocido","2015-07-22","2016-12-31","SOCIEDAD LIMITADA","11403 JEREZ DE LA FRONTERA (Cádiz)","JULCONST OBRAS REFORMAS Y PROYECTOS SL.","Desconocido","Activa","Desconocido","Desconocido","pequeña"
"B12846333","1728543.74","2018","93500","TOMAS PEREZ, JORGE","4121 - Construcción de edificios residenciales","CALLE APARADORS, 13","info@arko10.com","22","[964108580]","2010-07-01","2018-12-31","SOCIEDAD LIMITADA","12600 LA VALL D'UIXO (Castellón)","ARKO 10 OBRAS Y SERVICIOS DE LEVANTE SL.","Desconocido","Activa","[964100226, 964108580]","['www.arko10.com']","pequeña"
"B13284633","11217029.05","2018","2197256.97","SANCHEZ MONTANES ALDEA, MANUEL","4110 - Promoción inmobiliaria","PLAZUELA TRILLO, 3","alfer@alfersl.es","3","[926228316]","1998-08-27","2018-12-31","SOCIEDAD LIMITADA","13004 CIUDAD REAL (Ciudad Real)","PROMOCIONES Y CONSTRUCCIONES ALDEA FERNANDEZ SL","Desconocido","Activa","[926228316, 926229411]","['www.alfersl.es']","pequeña"
"B13443759","1757868.49","2018","3100","MARTIN SERRANO ROMERO, RAMON ANTONIO","4299 - Construcción de otros proyectos de ingeniería civil n.c.o.p.","CARRETERA NAVALPINO, 5","Desconocido","15","Desconocido","2006-11-02","2018-12-31","SOCIEDAD LIMITADA","13100 PIEDRABUENA (Ciudad Real)","PROIMANCHA INGENIERIA Y CONSTRUCCION SL","Desconocido","Activa","[926924401]","['www.proimancha.com']","pequeña"
"B13587696","2754787.18","2018","24000","FERNANDEZ CORONADO, PEDRO","4121 - Construcción de edificios residenciales","AVENIDA GREGORIO PRIETO, 20 - PISO 2 IZ","Desconocido","53","Desconocido","2015-11-24","2018-12-31","SOCIEDAD LIMITADA","13300 VALDEPEÑAS (Ciudad Real)","ENERGIA OBRAS SOSTENIBLES, SOCIEDAD LIMITADA.","Desconocido","Activa","Desconocido","Desconocido","pequeña"
"B14054225","23046220","2018","15025","SVAITER, ALAN","4673 - Comercio al por mayor de madera, materiales de construcción y aparatos sanitarios","AVENIDA AGRUPACION CORDOBA, 15","infovotorantim@vcimentos.com","0","[986473951]","1984-03-28","2018-12-31","SOCIEDAD LIMITADA","14014 CORDOBA (Córdoba)","COMERCIAL COSMOS SUR SL.","Desconocido","Activa","[986269000, 986269043]","['www.cementoscosmos.es']","mediana"
"B15056930","9784159.82","2018","19857.04","INVERSIONES SIMON COMPOSTELA SL","4322 - Fontanería, instalaciones de sistemas de calefacción y aire acondicionado","CALLE DE JOSE VILLAR GRANJEL, 18 - 20","administracion@simon.gl","54","[981589322]","1983-05-05","2018-12-31","SOCIEDAD LIMITADA","15890 SANTIAGO DE COMPOSTELA (La Coruña)","CALEFACCIONES SIMON SL","Desconocido","Activa","[981589575]","['www.calefaccionessimon.com']","mediana"
"B15077233","3636261.42","2018","7800","LOPEZ VILA, JOSE CARLOS","7112 - Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico","AVENIDA MAR, PAR 123","proyfe@proyfe.com","45","[981333304]","1985-08-22","2018-12-31","SOCIEDAD LIMITADA","15570 NARON (La Coruña)","PROYFE S L","['PROYFE, S.L.']","Activa","[981333044]","['www.proyfe.com']","mediana"
"B15554181","7192761.84","2017","12020","Desconocido","4121 - Construcción de edificios residenciales","POLIGONO INDUSTRIAL SABON, 6 - B  PAR","grupoaluman@grupoaluman.com","253","[981602075]","1996-03-25","2017-12-31","SOCIEDAD LIMITADA","15142 ARTEIXO (La Coruña)","REFORMAS Y MONTAJES ALUMAN SL  (EXTINGUIDA)","Desconocido","Extinción","[981602711]","['www.grupoaluman.com']","grande"
"B15589559","9363081.99","2018","12020","DE AMALLO DEL CORRAL, PABLO","4321 - Instalaciones eléctricas","CALLE MONIER, 9","correo@balmonel.com","35","Desconocido","1997-02-18","2018-12-31","SOCIEDAD LIMITADA","15660 CAMBRE (La Coruña)","BALMONEL SL","Desconocido","Activa","[981210022, 981783504]","['www.balmonel.com']","pequeña"
"B15726177","52733708.82","2018","3006","GRUPO PLEXUS TECH SL","7112 - Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico","CALLE DE JOSE VILLAR GRANJEL, 22 - 24","info@plexus.es","900","[981530117]","2000-01-17","2018-12-31","SOCIEDAD LIMITADA","15890 SANTIAGO DE COMPOSTELA (La Coruña)","TECNOLOGIAS PLEXUS SL","Desconocido","Activa","[981534136, 902998005]","['www.plexus.es', 'www.tecnologiasplexus.com']","grande"
"B15832553","2688268.88","2018","139320","MOUZO GARCIA, GERMAN MANUEL","4121 - Construcción de edificios residenciales","CALLE MARINA, ED XARDIN BAJO","Desconocido","24","[981742401]","2002-05-03","2018-12-31","SOCIEDAD LIMITADA","15124 MUXIA (La Coruña)","CONSTRUCCIONES Y EXCAVACIONES GERMAN MOUZO SL","Desconocido","Activa","Desconocido","Desconocido","pequeña"
"B15846124","2312789.17","2018","60000","DOPICO PEREZ, JOSE MARIA","7112 - Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico","RONDA DE OUTEIRO, 423 - BJ B","info@colabora.es","50","[981922526]","2002-08-14","2018-12-31","SOCIEDAD LIMITADA","15011 A CORUÑA (La Coruña)","COLABORA INGENIEROS SL","Desconocido","Activa","[981922525]","['www.colabora.es']","mediana"
"B16275257","5279931.81","2018","24000","AGUILAR CASTILLEJO, MARIA CORAL","4321 - Instalaciones eléctricas","CALLE ARCAS, 3","cyrasa@cyrasa.com","103","[969230623]","2008-10-15","2018-12-31","SOCIEDAD LIMITADA","16004 CUENCA (Cuenca)","CYRASA SEGURIDAD SL","Desconocido","Activa","[969230202, 969210164]","['www.cyrasa.com']","mediana"
"B17829755","1578457.29","2018","110000","MOLAS BARRIS, JOSE","4121 - Construcción de edificios residenciales","CALLE LA PUNTIA, 24 - NAU C.","cjosepmolas@gmail.com","10","Desconocido","2005-01-01","2018-12-31","SOCIEDAD LIMITADA","17857 SANT JOAN LES FONTS (Gerona)","CONSTRUCCIONS JOSEP MOLAS SL","Desconocido","Activa","[972271352]","['www.construccionsjosepmolas.com']","pequeña"
"B17834656","4097639.92","2012","3100","EFRIMIDI, STANISLAV","4121 - Construcción de edificios residenciales","AVENIDA VILA DE BLANES, 99 - 101","info@hechamano.es","44","Desconocido","2005-01-25","2012-12-31","SOCIEDAD LIMITADA","17310 LLORET DE MAR (Gerona)","CONSTRUCCIONES STAN LLORET SL","Desconocido","Activa","[972374158]","['www.hechamano.es', 'www.stanlloret.com']","pequeña"
"B17952771","2723862.02","2018","33000","BARTOMEU TITOS, JORDI","4121 - Construcción de edificios residenciales","CALLE SANTIAGO RUSIÑOL, 2 - BJ","Desconocido","19","Desconocido","2007-04-27","2018-12-31","SOCIEDAD LIMITADA","17246 SANTA CRISTINA D'ARO (Gerona)","SIMETRIC GIRONA SL","Desconocido","Activa","Desconocido","Desconocido","pequeña"
"B18590067","4098261.79","2018","517160","CASTILLO CASTILLO, JUAN JOSE","4312 - Preparación de terrenos","null LAS POCILLAS, S/N","hermacasti@gmail.com","35","[958956957]","2001-11-21","2018-12-31","SOCIEDAD LIMITADA","18708 ALBONDON (Granada)","HERMACASTI SL","Desconocido","Activa","[958956956]","['www.hermacasti.es']","mediana"
"B18943845","3165696.29","2018","52850","ACONSER GRUPO EMPRESARIAL SL","7112 - Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico","CALLE ARABIAL, 54 - PORTAL E - PISO 1ºB","info@vivendio.es","30","[901009181]","2010-09-10","2018-12-31","SOCIEDAD LIMITADA","18004 GRANADA (Granada)","VIVENDIO SOSTENIBILIDAD ENERGETICA SL","Desconocido","Activa","[958217090]","['www.vivendio.es']","pequeña"
"B20055802","5525816.84","2018","66111.33","JUARISTI OSTOLAZA, GERVASIO","2410 - Fabricación de productos básicos de hierro, acero y ferroaleaciones","CALLE ERROTAZAR, 1","juaristi@engranajesjuaristi.com","40","[943134292]","1978-01-01","2018-12-31","SOCIEDAD LIMITADA","20800 ZARAUTZ (Gipuzkoa)","ENGRANAJES JUARISTI SL","Desconocido","Activa","[943132280, 943830103]","['www.engranajesjuaristi.com']","pequeña"
"B20163705","9200845.89","2018","427096.03","PEREZ ALBENIZ CAMPOS, IÑAKI","4121 - Construcción de edificios residenciales","CAMINO ASTIGARRAGAKO, 2 - PLT 4 DCHA PTA 4","otegigaztanaga@otegigaztanaga.com","26","[943490277]","1987-10-15","2018-12-31","SOCIEDAD LIMITADA","20180 OIARTZUN (Gipuzkoa)","CONSTRUCCIONES OTEGUI GAZTAÑAGA SL","Desconocido","Activa","[943493595]","['www.otegigaztanaga.com']","pequeña"
"B20697173","8872168.42","2018","60100","ORBEGOZO AURICENEA, JOSE MARIA","4321 - Instalaciones eléctricas","POLIGONO INDUSTRIAL UBEGUN, 6 - B","amintel@amintel.es","11","[943894445]","2000-04-13","2018-12-31","SOCIEDAD LIMITADA","20809 AIA (Gipuzkoa)","AMINTEL SL","Desconocido","Activa","[943894426]","Desconocido","pequeña"
"B20935805","83773576","2018","6090000","IBARBIA IRIONDO, JESUS MARIA","7112 - Servicios técnicos de ingeniería y otras actividades relacionadas con el asesoramiento técnico","PASEO DE MIKELETEGI, 58 - 2º","info@cafpower.com","257","[943309252]","2007-03-02","2018-12-31","SOCIEDAD LIMITADA","20009 DONOSTIA/SAN SEBASTIAN (Gipuzkoa)","CAF POWER & AUTOMATION SL.","Desconocido","Activa","[943309251, 943308064, 943309359, 943690870]","['www.cafpower.com']","grande"
"B21447198","4274867.54","2018","67600","DELGADO ROMERO, MARIO","4121 - Construcción de edificios residenciales","CALLE PARROCO DON DIEGO SUAREZ MORA, S/N","contacto@altolaera.es","37","[959303359]","2007-11-06","2018-12-31","SOCIEDAD LIMITADA","21500 GIBRALEON (Huelva)","2007 ALTO LA ERA CONSTRUCCIONES SL","Desconocido","Activa","[959303386]","['www.altolaera.es']","mediana"
"B21523659","588163.16","2016","3006","LIMON PEDRERO, MARIA DE LA PEÑA","4122 - Construcción de edificios no residenciales","CALLE VIENTO DEL PONIENTE, 8","adminsitracion@limcott.com","25","Desconocido","2013-03-07","2016-12-31","SOCIEDAD LIMITADA","21620 TRIGUEROS (Huelva)","LIMCOTT SL.","Desconocido","Inactiva según nuestras fuentes","Desconocido","['www.limcott.com']","pequeña"
